N,DE,CEM,p-value
8,0.37±0.81,4.17±5.03,0.038
16,0.0±0.0,3.06±5.24,0.097
32,0.0±0.0,5.03±5.22,0.01
64,0.77±0.18,7.54±4.71,0.0
128,4.85±0.5,13.02±2.58,0.0
