N,DE,CEM,p-value
8,12.56±20.75,35.23±10.99,0.01
16,4.52±0.68,25.56±5.96,0.0
32,7.73±2.63,21.86±3.16,0.0
64,41.01±13.7,22.68±3.1,0.001
128,244.99±76.76,25.0±16.87,0.0
