N,DE,CEM,p-value
8,4.44±2.2,64.76±15.16,0.0
16,9.68±2.99,48.11±8.71,0.0
32,20.84±3.46,43.39±9.86,0.0
64,26.78±4.14,40.77±11.63,0.003
128,37.62±4.87,43.31±7.98,0.084
