N,DE,CEM,p-value
8,0.05±0.11,1.24±2.14,0.114
16,0.0±0.01,0.61±0.6,0.007
32,0.0±0.0,0.97±1.67,0.1
64,0.03±0.02,0.83±1.38,0.095
128,0.11±0.15,1.21±1.81,0.088
