N,DE,CEM,p-value
8,0.0±0.0,0.29±0.11,0.0
16,0.0±0.0,0.22±0.08,0.0
32,0.0±0.0,0.15±0.04,0.0
64,0.0±0.0,0.15±0.04,0.0
128,0.17±0.05,0.13±0.03,0.053
