N,DE,CEM,p-value
8,0.01±0.01,16.59±10.02,0.0
16,0.0±0.0,16.64±10.01,0.0
32,0.02±0.01,16.59±10.03,0.0
64,0.04±0.02,16.59±10.03,0.0
128,0.07±0.05,16.59±10.03,0.0
