N,DE,CEM,p-value
8,0.0±0.0,0.0±0.0,0.001
16,0.0±0.0,0.0±0.0,0.004
32,0.0±0.0,0.0±0.0,0.007
64,0.0±0.0,0.0±0.0,0.002
128,0.0±0.0,0.0±0.0,0.52
