N,DE,CEM,p-value
8,0.06±0.05,47.62±14.49,0.0
16,0.21±0.08,54.49±20.05,0.0
32,0.35±0.08,60.81±23.81,0.0
64,0.62±0.08,63.53±26.67,0.0
128,1.57±0.19,64.67±27.38,0.0
