N,DE,CEM,p-value
8,0.26±0.77,14.43±5.39,0.0
16,0.0±0.0,13.55±6.77,0.0
32,0.0±0.0,11.41±5.83,0.0
64,0.03±0.01,10.91±5.45,0.0
128,0.86±0.51,13.13±4.94,0.0
